Use_Case,Concept,DataCite_Field,Status,Crossref_Field,Note
DataCite_ContributorTypes,RelatedPerson,contributors,none,—,No such contributor role in Crossref
DataCite_ContributorTypes,ResearchGroup,contributors,none,—,No such contributor role in Crossref
DataCite_ContributorTypes,RightsHolder,contributors,none,—,No RightsHolder role; copyright lines occasionally in assertion[]
DataCite_ContributorTypes,Researcher,contributors,none,—,No such contributor role in Crossref
DataCite_ContributorTypes,Sponsor,contributors,none,—,No such contributor role in Crossref
DataCite_ContributorTypes,Supervisor,contributors,none,—,No such contributor role in Crossref
DataCite_ContributorTypes,WorkPackageLeader,contributors,none,—,No such contributor role in Crossref
Project_Team,Resource Author,creators,direct,author[].family / .given / .name,Universal on Crossref works
Project_Team,Resource Author Type,creators,partial,author[] shape,Person vs organization inferable (given/family vs name); no explicit nameType
Project_Team,Resource Author Identifier,creators,direct,author[].ORCID,ORCID only; ~13% of works (22.0M)
Project_Team,Resource Author Identifier Type,creators,partial,(implicit),Always ORCID when present
Project_Team,Resource Author Affiliation,creators,direct,author[].affiliation[].name,~20% of works (33.3M)
Project_Team,Resource Author Affiliation Identifier,creators,direct,author[].affiliation[].id[].id,"ROR; ~0.7% of works (1.15M), growing"
Project_Team,Resource Author Affiliation Identifier Type,creators,direct,author[].affiliation[].id[].id-type,"""ROR"""
Project_Team,Temporal Extent,dates,none,—,No coverage dates
Project_Team,Resource Contributor Name,contributors,partial,editor[] / translator[] / chair[],Only fixed roles — no general contributor list
Project_Team,Resource Contributor Identifier,contributors,partial,editor[].ORCID etc.,ORCID on the role lists; rare
Project_Team,Resource Contributor Identifier Type,contributors,partial,(implicit),Always ORCID when present
Project_Team,Resource Contributor Affiliation,contributors,partial,editor[].affiliation[] etc.,"Structurally present, rarely deposited"
Project_Team,Resource Contributor Affiliation Identifier,contributors,partial,editor[].affiliation[].id[] etc.,"Structurally present, rarely deposited"
Project_Team,Funder Name,fundingReferences,direct,funder[].name,~9% of works (15.6M)
Project_Team,Funder Identifier,fundingReferences,direct,funder[].DOI / funder[].id[],Funder Registry DOI today; RORs arriving as the registry merges into ROR
Project_Team,ContactPerson,contributors,none,—,No such contributor role in Crossref
Project_Team,DataManager,contributors,none,—,No such contributor role in Crossref
Project_Team,Editor,contributors,direct,editor[],
Project_Team,HostingInstitution,contributors,partial,institution{},"Only on reports, dissertations, posted content"
Project_Team,Other,contributors,none,—,contributorType Other has no Crossref role
Project_Team,Producer,contributors,none,—,No such contributor role in Crossref
Project_Team,ProjectLeader,contributors,none,—,No such contributor role in Crossref
Project_Team,ProjectManager,contributors,none,—,No such contributor role in Crossref
Project_Team,ProjectMember,contributors,none,—,No such contributor role in Crossref
Project_Team,RegistrationAgency,contributors,partial,source,"Implicit — every record’s agency is ""Crossref"""
Project_Team,RelatedPerson,contributors,none,—,No such contributor role in Crossref
Project_Team,Researcher,contributors,none,—,No such contributor role in Crossref
Project_Team,Sponsor,contributors,none,—,No such contributor role in Crossref
Project_Team,Supervisor,contributors,none,—,No such contributor role in Crossref
Project_Team,WorkPackageLeader,contributors,none,—,No such contributor role in Crossref
Project_Items,Audiovisual,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Items,Award,relatedIdentifiers,partial,grant records,Crossref grant DOIs exist; works rarely link them as relations
Project_Items,Book,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Items,BookChapter,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Items,Collection,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Items,ComputationalNotebook,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Items,ConferencePaper,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Items,ConferenceProceeding,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Items,Dataset,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Items,Event,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Items,JournalArticle,relatedIdentifiers,partial,relation.is-preprint-of,Preprint→article links type the target implicitly
Project_Items,Other,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Items,OutputManagementPlan,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Items,PhysicalObject,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Items,Project,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Items,Report,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Items,Software,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Items,Standard,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Items,Text,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Items,Workflow,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Relations,Related Identifier,relatedIdentifiers,direct,relation.*[].id + reference[].DOI,Typed relations plus the reference list
Project_Relations,Related Identifier Type,relatedIdentifiers,direct,relation.*[].id-type,doi / issn / isbn / uri
Project_Relations,Relation Type,relatedIdentifiers,direct,relation object keys,Shared vocabulary; Crossref subset
Project_Relations,Related Item Type,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
Project_Relations,Continues,relatedIdentifiers,partial,relation.continues,In the relation schema; essentially undeposited
Project_Relations,Describes,relatedIdentifiers,none,—,Not in the vocabulary
Project_Relations,HasPart,relatedIdentifiers,direct,relation.has-part,"Components (figures, supplements) via is-component-of are common"
Project_Relations,HasVersion,relatedIdentifiers,direct,relation.has-version,
Project_Relations,IsCitedBy,relatedIdentifiers,partial,is-referenced-by-count,Count only; citing DOIs not in the work record
Project_Relations,IsContinuedBy,relatedIdentifiers,partial,relation.is-continued-by,In the relation schema; essentially undeposited
Project_Relations,IsDerivedFrom,relatedIdentifiers,partial,relation.is-derived-from / is-based-on,Derivation vocabulary differs; rarely deposited
Project_Relations,IsDocumentedBy,relatedIdentifiers,partial,relation.is-documented-by,In the relation schema; essentially undeposited
Project_Relations,IsIdenticalTo,relatedIdentifiers,direct,relation.is-identical-to,Used for mirrored / duplicate deposits
Project_Relations,IsObsoletedBy,relatedIdentifiers,partial,updated-by / relation.is-replaced-by,The corrections-and-retractions model
Project_Relations,RelatedItems Item Type,relatedItems,partial,reference[],Reference entries are the closest analog to citation relatedItems
Project_Relations,RelatedItems Relation Type,relatedItems,partial,reference[],"All references are an implicit ""Cites"""
Project_Relations,IsPartOf,relatedIdentifiers,direct,relation.is-part-of,Also structural: container-title / ISSN for articles
Project_Relations,IsPublishedIn,relatedIdentifiers,partial,container-title / ISSN,"Structural in Crossref, not a relation"
Project_Relations,IsReferencedBy,relatedIdentifiers,partial,is-referenced-by-count,Count only
Project_Relations,IsSourceOf,relatedIdentifiers,partial,relation.has-derivation / is-basis-for,Rarely deposited
Project_Relations,IsSupplementedBy,relatedIdentifiers,direct,relation.is-supplemented-by,
Project_Relations,IsSupplementTo,relatedIdentifiers,direct,relation.is-supplement-to,
Project_Relations,IsVariantFormOf,relatedIdentifiers,partial,relation.is-variant-form-of,In the relation schema; essentially undeposited
Project_Relations,IsVersionOf,relatedIdentifiers,direct,relation.is-version-of,
Project_Relations,Obsoletes,relatedIdentifiers,partial,update-to / relation.replaces,The corrections-and-retractions model
Project_Relations,References,relatedIdentifiers,direct,reference[],Crossref does not distinguish Cites from References
SHARE_stewardship,Spatial Extent,geoLocations,none,—,No geolocation
SHARE_stewardship,Date Collected,dates,none,—,No collection dates
SHARE_stewardship,Date Coverage,dates,none,—,No coverage dates
SHARE_stewardship,Contributor Type,contributors,partial,role lists,Only editor / translator / chair; no contributorType vocabulary
SHARE_stewardship,Keyword,subjects,none,—,subject[] was retired in 2024 and now returns empty
SHARE_harmonization,Methods,descriptions,none,—,No typed descriptions
SHARE_harmonization,Resource Author Identifier,creators,direct,author[].ORCID,ORCID only; ~13% of works (22.0M)
SHARE_harmonization,Resource Contributor Identifier,contributors,partial,editor[].ORCID etc.,ORCID on the role lists; rare
SHARE_harmonization,IsCitedBy,relatedIdentifiers,partial,is-referenced-by-count,Count only; citing DOIs not in the work record
SHARE_harmonization,Abstract,descriptions,direct,abstract,JATS-XML markup; ~27% of works (44.8M)
SHARE_harmonization,Resource Author Affiliation Identifier,creators,direct,author[].affiliation[].id[].id,"ROR; ~0.7% of works (1.15M), growing"
SHARE_harmonization,Resource Contributor Affiliation Identifier,contributors,partial,editor[].affiliation[].id[] etc.,"Structurally present, rarely deposited"
SHARE_harmonization,Resource Author Identifier Type,creators,partial,(implicit),Always ORCID when present
SHARE_harmonization,Resource Author Affiliation Identifier Type,creators,direct,author[].affiliation[].id[].id-type,"""ROR"""
SHARE_harmonization,Resource Contributor Identifier Type,contributors,partial,(implicit),Always ORCID when present
SHARE_harmonization,Resource Contributor Affiliation Identifier Type,contributors,partial,editor[].affiliation[].id[].id-type,"Structurally present, rarely deposited"
SHARE_access,Rights Identifier,rightsList,none,—,No SPDX identifier; derivable from license URL
SHARE_access,Rights,rightsList,partial,license[].URL,URL only — no rights name; derivable from the URL
SHARE_access,Date Available,dates,partial,license[].start,License start / embargo delay approximates availability
SHARE_access,Resource Format,formats,partial,link[].content-type,MIME types of full-text links only
SHARE_reuse,IsSourceOf,relatedIdentifiers,partial,relation.has-derivation / is-basis-for,Rarely deposited
SHARE_reuse,Discovery Metrics,viewCount,none,—,No view counts
SHARE_reuse,Access Metrics,downloadCount,none,—,No download counts
SHARE_reuse,Citation Metrics,citationCount,direct,is-referenced-by-count,
SHARE_engagement,JournalArticle,relatedIdentifiers,partial,relation.is-preprint-of,Preprint→article links type the target implicitly
SHARE_engagement,Preprint,relatedIdentifiers,direct,relation.has-preprint,
SHARE_engagement,ConferencePaper,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
SHARE_engagement,ConferenceProceeding,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
SHARE_engagement,Dataset,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
SHARE_engagement,Software,relatedIdentifiers,none,—,"Needs the related item's resource type, which Crossref relations don't carry"
SHARE_engagement,Project Funder,fundingReferences,direct,funder[].name,~9% of works (15.6M)
SHARE_engagement,Funder Identifier,fundingReferences,direct,funder[].DOI / funder[].id[],Funder Registry DOI today; RORs arriving as the registry merges into ROR
SHARE_engagement,Award Title,fundingReferences,partial,grant records (type=grant),Works carry award numbers only; titles live on Crossref grant DOIs
SHARE_engagement,Award Number,fundingReferences,direct,funder[].award[],
SHARE_engagement,IsVersionOf,relatedIdentifiers,direct,relation.is-version-of,
SHARE_engagement,Funder Identifier Type,fundingReferences,direct,funder[].id[].id-type,"""DOI"" (Funder Registry), ""ROR"""
