Title,Date,DOI,DOI URL,Blog URL,Related tools
Improving Domain Repository Connectivity: Article Metadata Archeology,Apr 2021,10.59350/s5cfh-dx817,https://doi.org/10.59350/s5cfh-dx817,https://metadatagamechangers.com/blog/2021/4/27/metadata-archeology-article-metadata,Connectivity
Can Communities Improve Metadata?,Apr 2021,10.59350/vtt2s-jss23,https://doi.org/10.59350/vtt2s-jss23,https://metadatagamechangers.com/blog/2021/4/14/can-communities-improve-metadata,Repository History; Repository Activity
Improving Domain Repository Connectivity: Establishing a Baseline,Mar 2021,10.59350/kft70-xgz24,https://doi.org/10.59350/kft70-xgz24,https://metadatagamechangers.com/blog/2021/3/16/improving-domain-repository-connectivity-establishing-a-baseline,Connectivity
Improving Domain Repository Connectivity: Identifying Organizations,Mar 2021,10.59350/8xcgf-drf32,https://doi.org/10.59350/8xcgf-drf32,https://metadatagamechangers.com/blog/2021/3/26/identifying-organizations,Connectivity
A PID Feast for Research – PIDapalooza 2021,Feb 2021,10.59350/ryh7v-rmy52,https://doi.org/10.59350/ryh7v-rmy52,https://metadatagamechangers.com/blog/2021/2/2/a-pid-feast-for-research-pidapalooza-2021,Completeness
Can Repositories Improve Metadata?,Jan 2021,10.59350/t6dna-wbp85,https://doi.org/10.59350/t6dna-wbp85,https://metadatagamechangers.com/blog/2021/1/1/can-repositories-improve-metadata,Re-Curation Watch
Power of PIDS: Measuring Connectivity,Jan 2021,10.59350/59qrg-1ps18,https://doi.org/10.59350/59qrg-1ps18,https://metadatagamechangers.com/blog/2021/1/27/connectivity,Connectivity
DataCite Metadata: Evolving to FAIRness,Jan 2021,10.59350/ftzmw-k9q02,https://doi.org/10.59350/ftzmw-k9q02,https://metadatagamechangers.com/blog/2021/1/11/fair-datacite-metadata-evolution,Repository History
Minimum Metadata,Dec 2020,10.59350/kanrj-qt678,https://doi.org/10.59350/kanrj-qt678,https://metadatagamechangers.com/blog/2020/12/23/minimum-metadata,Completeness
Sometimes a Name is Not Enough - Update,Apr 2020,10.59350/ec8fd-s5t94,https://doi.org/10.59350/ec8fd-s5t94,https://metadatagamechangers.com/blog/2020/4/21/sometimes-a-name-is-not-enough-update,ROR Retriever
Early Adopters of Organizational Identifiers in DataCite,Mar 2020,10.59350/g96gh-x2361,https://doi.org/10.59350/g96gh-x2361,https://metadatagamechangers.com/blog/2020/3/5/early-adopters-of-organizational-identifiers,ROR Retriever
How Many RORs Do We Need?,Nov 2019,10.59350/4tbaw-m9382,https://doi.org/10.59350/4tbaw-m9382,https://metadatagamechangers.com/blog/2019/11/10/how-many-rors-do-we-need,ROR Retriever
MetaDIG recommendations for FAIR DataCite metadata,Oct 2019,10.59350/n31gm-kg364,https://doi.org/10.59350/n31gm-kg364,https://metadatagamechangers.com/blog/2019/9/14/metadig-recommendations-for-fair-datacite-metadata,Completeness
Sometimes a Name is Not Enough,Oct 2019,10.59350/w46m1-evz59,https://doi.org/10.59350/w46m1-evz59,https://metadatagamechangers.com/blog/2019/10/24/sometimes-a-name-is-not-enough,ROR Retriever
Metadata Archeology: Hunting Affiliations and RORs in DataCite Metadata,Aug 2019,10.59350/jmewf-dsf80,https://doi.org/10.59350/jmewf-dsf80,https://metadatagamechangers.com/blog/2019/8/15/metadata-archeology-hunting-affiliations-and-rors-in-datacite-metadata,ROR Retriever
Metadata Archeology – Finding Affiliations in Crossref Metadata,Jun 2019,10.59350/n51d6-ks443,https://doi.org/10.59350/n51d6-ks443,https://metadatagamechangers.com/blog/2019/6/19/metadata-archeology-finding-dryad-affiliations-in-crossref-metadata,ROR Retriever
The Big Picture - Has CrossRef metadata completeness improved?,Mar 2019,10.59350/4svpe-kcj07,https://doi.org/10.59350/4svpe-kcj07,https://metadatagamechangers.com/blog/2019/3/25/the-big-picture-how-has-crossref-metadata-completeness-improved,Repository History
"Metadata Evolution - Metadata Completeness, Agility, and Collection Size",Mar 2019,10.59350/5a12z-dq192,https://doi.org/10.59350/5a12z-dq192,https://metadatagamechangers.com/blog/2019/3/1/metadata-evolution-metadata-completeness-agility-and-collection-size,Repository History
Metadata Evolution - CrossRef Participation Reports,Feb 2019,10.59350/b0ctp-heh14,https://doi.org/10.59350/b0ctp-heh14,https://metadatagamechangers.com/blog/2019/2/19/metadata-evolution-crossref-participation-reports,Repository History
Discovery Through Links,Dec 2018,10.59350/bw17z-0zw63,https://doi.org/10.59350/bw17z-0zw63,https://metadatagamechangers.com/blog/2018/12/6/understanding-iso-metadata-citations-and-identifiers,Connectivity
